Table;C;R;U;D;Owner;Program
ADETS;;x;;;Current_Account_Engine;XFXCM;
XFXAS;;x;;;General_Ledger;XFXCM;
AASPS;;;x;;auxiliary;XFXCM;
ALGRS;x;x;;;General_ledger;AULOCDUP;
ARBRO;x;x;;;General_Ledger;AULOCDUP;
ABASS;x;x;;;auxiliary;AULOCDUP;
CCOCO;;x;x;;Business_Lending_Engine;CUCOMATRDO;
CCORO;;x;;;Business_Lending_Engine;CUCOMATRDO;
LCCYS;;x;;;Reference_Data_Manager;CUCOMATRDO;
CCOCL;x;;;;auxiliary;CUCOMATRDO;
AASPS;;;x;;auxiliary;CUCOMATRDO;
CCREO;x;x;;;Business_Lending_Engine;CUCOMATRDO;
CCDIS;;x;;;auxiliary;CUCOMATRDO;
ATRTS;;x;;;General_ledger;CUCOMATRDO;
CC3PO;;x;;;Business_Lending_Engine;CUCOMATRDO;
LCBNS;;x;;;Party_Management;CUCOMATRDO;
LPHYS;;x;;;Party_Management;CUCOMATRDO;
ICNFS;;x;;;Reconciliation_Engine;CUCOMATRDO;
RSTRT;;;x;;auxiliary;CUCOMATRDO;
CCOMS;;x;;;Business_Lending_Engine;CUCOMATRDO;
REFFL;;;x;;Reference_Data_Manager;CUCOMATRDO;
LBRAS;;x;;;Reference_Data_Manager;CUCOMATRDO;
IBATO;;x;x;;Current_Account_Engine;CUCOMATRDO;
LCCYS;;x;;;Reference_Data_Manager;XLPAYMDUE;
LSUPS;;x;;;General_Ledger;XLPAYMDUE;
PRSNL;;x;;;Core;XLPAYMDUE;
LBRAS;;x;;;Reference_Data_Manager;XLPAYMDUE;
XGDCS;;x;;;General_Ledger;XLPAYMDUE;
LPRDS;;x;;;Product_Management;CLCPFX;
CRTRO;;x;;;Business_Lending_Engine;CLCPFX;
IFXCO;;x;;;Financial_Markets_Trade_engine;CLCPFX;
DFRTO;x;x;x;x;Payments_Execution_Engine;GP-126-DFRTO;
LPSIO;;x;;;auxiliary;ALACPINT;
LPHIO;;x;;;Party_Management;ALACPINT;
LELIO;;x;;;Party_Management;ALACPINT;
LCTIO;;x;;;Party_Management;ALACPINT;
ADEIO;;x;;;Account Management;ALACPINT;
AREIO;;x;;;auxiliary;ALACPINT;
AINIO;;x;;;auxiliary;ALACPINT;
IINIO;;x;;;auxiliary;ALACPINT;
ASPIO;;x;;;auxiliary;ALACPINT;
LCBNS;;x;;;Party_Management;RLFACDRAW;
LBRAS;;x;;;Reference_Data_Manager;RLFACDRAW;
REFFL;;;x;;Reference_Data_Manager;RLFACDRAW;
LCCYS;;x;;;Reference_Data_Manager;RLFACDRAW;
LCTSO;;x;;;Party_Management;RLFACDRAW;
LCTPS;;x;;;Party_Management;RLFACDRAW;
ADETS;;x;;;Current_Account_Engine;RLFACDRAW;
AMVTO;;x;;;Current_Account_Engine;RLFACDRAW;
LPRDS;;x;;;Product_Management;RLFACDRAW;
IFXCO;;x;;;Financial_Markets_Trade_engine;RLFACDRAW;
IGLDO;;x;;;Financial_Markets_Trade_engine;RLFACDRAW;
ITLDO;;x;;;lending;RLFACDRAW;
CCMHO;;x;;;Business_Lending_Engine;RLFACDRAW;
CMTLO;;x;;;Business_Lending_Engine;RLFACDRAW;
ISIMO;;x;;;Business_Lending_Engine;RLFACDRAW;
CGUAS;;x;;;Business_Lending_Engine;RLFACDRAW;
IFRAO;;x;;;Financial_Markets_Trade_engine;RLFACDRAW;
IOPTS;;x;;;Financial_Markets_Trade_engine;RLFACDRAW;
CFACS;;x;;;Business_Lending_Engine;RLFACDRAW;
LPHYS;;x;;;Party_Management;RLFACDRAW;
DMSTO;;x;;;Cash_Management_Engine;DLLAMCPAY;
DSLVO;;x;;;Cash_Management_Engine;DLLAMCPAY;
LPHYS;;x;;;Party_Management;DLLAMCPAY;
LCBNS;;x;;;Party_Management;DLLAMCPAY;
LCCYS;;x;;;Reference_Data_Manager;DLLAMCPAY;
DPTRL;;x;;;Payments_Execution_Engine;DLLAMCPAY;
REFFL;;;x;;Reference_Data_Manager;MII1C;
DIPTO;x;x;x;;Payments_Execution_Engine;MII1C;
LCCYS;;x;;;Reference_Data_Manager;MII1C;
LBRAS;;x;;;Reference_Data_Manager;MII1C;
LCIYS;;x;;;Reference_Data_Manager;MII1C;
LELCS;;x;;;Party_Management;MII1C;
LCRYS;;x;;;Reference_Data_Manager;MII1C;
LPHYS;;x;;;Party_Management;MII1C;
ABA1S;;x;;;General_Ledger;MII1C;
DCTRO;;x;;x;Customer_Billing;MII1C;
ADETS;x;x;x;x;Current_Account_Engine;TOCMIACCO2;
LCBNS;;x;x;;Party_Management;TOCMIACCO2;
LPSNS;x;x;;x;Party_Management;TOCMIACCO2;
LCTPS;x;x;;x;Party_Management;TOCMIACCO2;
LPHYS;x;x;x;x;Party_Management;TOCMIACCO2;
LELCS;x;x;;x;Party_Management;TOCMIACCO2;
ARETO;;x;x;;Current_Account_Engine;TOCMIACCO2;
ASPAS;;x;x;;Customer_Reporting;TOCMIACCO2;
DMSTO;;x;x;;Cash_Management_Engine;TOCMIACCO2;
DSLVO;;x;x;;Cash_Management_Engine;TOCMIACCO2;
LCBNS;;x;;;Party_Management;GP-099LIQ-INVMO;
AASPS;;x;;;auxiliary;GP-099LIQ-INVMO;
BDLGO;;x;;;Financial Markets;GP-099LIQ-INVMO;
BISSO;;x;;;Financial Markets;GP-099LIQ-INVMO;
BICTO;;x;;;Financial_Markets_Trade_engine;GP-099LIQ-INVMO;
LPRDS;;x;;;Product_Management;GP-099LIQ-INVMO;
IPTIO;;x;;;Financial_Markets_Trade_engine;GP-099LIQ-INVMO;
LCCYS;;x;;;Reference_Data_Manager;GP-099LIQ-INVMO;
INVMO;x;;;;Financial_Markets_Trade_engine;GP-099LIQ-INVMO;
BISSO;;x;x;;Financial Markets;BUMRGISS;
BDLGO;;x;x;;Financial Markets;BUMRGISS;
BDLAO;;x;x;;Financial_Markets_Trade_engine;BUMRGISS;
BICTO;;x;x;;Financial_Markets_Trade_engine;BUMRGISS;
BDLTO;;x;x;;Financial_Markets_Trade_engine;BUMRGISS;
BDLPO;;x;x;;Financial_Markets_Trade_engine;BUMRGISS;
BREDO;;x;x;;Financial_Markets_Trade_engine;BUMRGISS;
BREPO;;x;x;;Financial_Markets_Trade_engine;BUMRGISS;
AASPS;;;x;;auxiliary;BUMRGISS;
BISPO;;x;x;;Financial_Markets_Trade_engine;BUMRGISS;
REFFL;;;x;;Reference_Data_Manager;CPYIA;
CMHIO;;x;;;auxiliary;CPYIA;
CCMHO;;x;;;Business_Lending_Engine;CPYIA;
LCCYS;;x;;;Reference_Data_Manager;CPYIA;
LRESS;;x;;;Reference_Data_Manager;CPYIA;
IINTO;;x;;;Current_Account_Engine;CPYIA;
LBRAS;;x;;;Reference_Data_Manager;CPYIA;
IIPIO;x;x;x;;Financial Markets;CPYIA;
CPTIO;;x;;;Business_Lending_Engine;CPYIA;
CMTLO;;x;;;Business_Lending_Engine;CPYIA;
CMTIO;x;x;x;;auxiliary;CPYIA;
LELCS;;x;;;Party_Management;CPYIA;
AASPS;;;x;;auxiliary;CPYIA;
REFFL;;;x;;Reference_Data_Manager;CPYIC;
CMTIO;x;x;x;;auxiliary;CPYIC;
CMTLO;;x;;;Business_Lending_Engine;CPYIC;
LBRAS;;x;;;Reference_Data_Manager;CPYIC;
LCCYS;;x;;;Reference_Data_Manager;CPYIC;
CPTIO;;x;;;Business_Lending_Engine;CPYIC;
IIPIO;x;x;x;;Financial Markets;CPYIC;
CCMHO;;x;;;Business_Lending_Engine;CPYIC;
CMHIO;;x;;;auxiliary;CPYIC;
AASPS;;;x;;auxiliary;CPYIC;
LELCS;;x;;;Party_Management;CPYIC;
CSHTO;;x;;;financial markets;CLCPEO;
CSHOO;;x;;;financial markets;CLCPEO;
AASPS;;;x;;auxiliary;CLCPEO;
RPDEF;;;x;;auxiliary;CLCPEO;
IIFXO;;x;x;;financial markets;GI-IXFXC3;
REFFL;;;x;;Reference_Data_Manager;GI-IXFXC3;
LBRAS;;x;x;;Reference_Data_Manager;GI-IXFXC3;
LCBNS;;x;;;Party_Management;GI-IXFXC3;
ABA1S;;x;;;General_Ledger;GI-IXFXC3;
LBROS;;x;;;Party_Management;GI-IXFXC3;
LRCES;;x;;;General_Ledger;GI-IXFXC3;
IBBDO;;x;x;;auxiliary;GI-IXFXC3;
IFXCO;;;x;;Financial_Markets_Trade_engine;GI-IXFXC3;
IIPIO;;x;;;Financial Markets;GI-IXFXC3;
IIFXO;;x;x;;financial markets;GI-IXFXC1;
IIPIO;;x;;;Financial Markets;GI-IXFXC1;
LCCYS;;x;;;Reference_Data_Manager;GI-IXFXC1;
PRSNL;;x;;;Core;GI-IXFXC1;
LRCES;;x;;;General_Ledger;GI-IXFXC1;
LBROS;;x;;;Party_Management;GI-IXFXC1;
LCBNS;;x;;;Party_Management;GI-IXFXC1;
ABA1S;;x;;;General_Ledger;GI-IXFXC1;
LBRAS;;x;x;;Reference_Data_Manager;GI-IXFXC1;
LPHYS;;x;;;Party_Management;GI-IXFXC1;
IIFXO;;x;;;financial markets;GI-IXFXC2;
LCBNS;;x;;;Party_Management;ALDRMACC;
LPHYS;;x;;;Party_Management;ALDRMACC;
LCCYS;;x;;;Reference_Data_Manager;ALDRMACC;
LCTPS;;x;;;Party_Management;ALDRMACC;
PRSNL;;x;;;Core;ALDRMACC;
LRCES;;x;;;General_Ledger;ALDRMACC;
LBRAS;;x;;;Reference_Data_Manager;ALDRMACC;
LBGRS;;x;;;Reference_Data_Manager;ALDRMACC;
ADETS;;x;;;Current_Account_Engine;ALDRMACC;
AMVTO;;x;;;Current_Account_Engine;ALDRMACC;
LPRDS;;x;;;Product_Management;CLFACLNREP;
ICNFS;;x;;;Reconciliation_Engine;CLFACLNREP;
CFACS;;x;;;Business_Lending_Engine;CLFACLNREP;
LCCYS;;x;;;Reference_Data_Manager;CLFACLNREP;
CFRSO;;x;;;Business_Lending_Engine;CLFACLNREP;
LPHYS;;x;;;Party_Management;CLFACLNREP;
ABKTS;;x;x;;General_ledger;ABKTS;
AGEXS;;x;;;General_ledger;ABKTS;
ANTUS;;x;;;Current_Account_Engine;ABKTS;
ADSNS;;x;;;General_ledger;ABKTS;
ABA1S;;x;x;;General_Ledger;ABKTS;
ICNFS;;x;;;Reconciliation_Engine;ABKTS;
ADETS;;x;x;;Current_Account_Engine;ABKTS;
ABKTL;x;;;;auxiliary;ABKTS;
CSHAO;;x;;;financial markets;CLEQOPOUT2;
CSHDS;;x;;;financial markets;CLEQOPOUT2;
ADETS;;x;;;Current_Account_Engine;CLEQOPOUT2;
CSHOO;;x;;;financial markets;CLEQOPOUT2;
LCCYS;;x;;;Reference_Data_Manager;CLEQOPOUT2;
DIPTO;;x;x;;Payments_Execution_Engine;MII2C;
REFFL;;;x;;Reference_Data_Manager;MII2C;
LCCYS;;x;;;Reference_Data_Manager;MII2C;
LBRAS;;x;;;Reference_Data_Manager;MII2C;
LELCS;;x;;;Party_Management;MII2C;
LCBNS;;x;;;Party_Management;MII2C;
INOSO;;x;;;Financial_Markets_Trade_engine;MII2C;
LCORO;;x;;;Party_Management;MII2C;
AASPS;;;x;;auxiliary;MII2C;
IIPIO;x;;;;Financial Markets;GI-IIFRA-SSI;
ISPIO;;x;;;Financial_Markets_Trade_engine;GI-IIFRA-SSI;
LCBNS;;x;;;Party_Management;CLSECINVRE;
LPHYS;;x;;;Party_Management;CLSECINVRE;
LCCYS;;x;;;Reference_Data_Manager;CLSECINVRE;
CPBCO;;x;;;Financial Markets;CLSECINVRE;
CSHAO;;x;;;financial markets;CLSECINVRE;
CSHTO;;x;;;financial markets;CLSECINVRE;
CSCOO;;x;;;Collateral_Management;CLSECINVRE;
ISIMO;;x;;;Business_Lending_Engine;CLSECINVRE;
CBFMO;;x;;;auxiliary;CLSECINVRE;
ITLDO;;x;;;lending;CLSECINVRE;
IGLDO;;x;;;Financial_Markets_Trade_engine;CLSECINVRE;
CSIMS;;x;;;Business_Lending_Engine;CLSECINVRE;
ADETS;;x;;;Current_Account_Engine;CLSECINVRE;
LBRAS;;x;;;Reference_Data_Manager;CLSECINVRE;
LBGRS;;x;;;Reference_Data_Manager;CLSECINVRE;
LCRYS;;x;;;Reference_Data_Manager;CLSECINVRE;
LCIYS;;x;;;Reference_Data_Manager;CLSECINVRE;
CSECS;;x;;;Collateral_Management;CLSECINVRE;
PRSNL;;x;;;Core;CLSECINVRE;
BISSO;;x;;;Financial Markets;GP-082ACCR-INT;
BDLGO;;x;;;Financial Markets;GP-082ACCR-INT;
BICTO;;x;;;Financial_Markets_Trade_engine;GP-082ACCR-INT;
LPHYS;;x;;;Party_Management;II-009-FILL-IIPH5;
ABA1S;;x;;;General_Ledger;II-009-FILL-IIPH5;
IIPIO;;x;;;Financial Markets;II-009-FILL-IIPH5;
IPTIO;;x;;;Financial_Markets_Trade_engine;II-009-FILL-IIPH5;
LPRDS;;x;;;Product_Management;II-009-FILL-IIPH5;
ITLDO;;x;;;lending;II-009-FILL-IIPH5;
LCTPS;;x;;;Party_Management;II-009-FILL-IIPH5;
REFFL;;;x;;Reference_Data_Manager;CUPBPORTF;
CEXRO;;x;;;Financial_Markets_Trade_engine;CUPBPORTF;
AEXRS;;x;;;Reference_Data_Manager;CUPBPORTF;
LPRDS;;x;;;Product_Management;CUPBPORTF;
CBFMO;;x;;;auxiliary;CUPBPORTF;
LCCYS;;x;;;Reference_Data_Manager;CUPBPORTF;
LCBNS;;x;x;;Party_Management;CUPBPORTF;
ADETS;;x;;;Current_Account_Engine;CUPBPORTF;
ANTUS;;x;;;Current_Account_Engine;CUPBPORTF;
CSHAO;;x;;;financial markets;CUPBPORTF;
CSHDS;;x;;;financial markets;CUPBPORTF;
IFXCO;;x;;;Financial_Markets_Trade_engine;CUPBPORTF;
CGUAS;;x;;;Business_Lending_Engine;CUPBPORTF;
LCTPS;;x;x;;Party_Management;CUPBPORTF;
IGLDO;;x;;;Financial_Markets_Trade_engine;CUPBPORTF;
ITLDO;;x;;;lending;CUPBPORTF;
IGIRO;;x;;;Financial_Markets_Trade_engine;CUPBPORTF;
ITIRO;;x;;;Financial_Markets_Trade_engine;CUPBPORTF;
IFRAO;;x;;;Financial_Markets_Trade_engine;CUPBPORTF;
IOPTS;;x;;;Financial_Markets_Trade_engine;CUPBPORTF;
CSHOO;;x;;;financial markets;CUPBPORTF;
ISIMO;;x;;;Business_Lending_Engine;CUPBPORTF;
CSIMS;;x;;;Business_Lending_Engine;CUPBPORTF;
CMTCO;;x;;;Financial Markets;CUPBPORTF;
CPBPO;x;x;x;x;Financial Markets;CUPBPORTF;
CPBCO;;x;x;;Financial Markets;CUPBPORTF;
AASPS;;;x;;auxiliary;CUPBPORTF;
CSHTO;;x;x;;financial markets;CUPBPORTF;
CCFPO;x;x;x;x;Business_Lending_Engine;CUMATPOS;
GXMLO;x;x;x;x;Core;GXMLM;
CFACS;;x;;;Business_Lending_Engine;CLCPFAC;
LCBNS;;x;;;Party_Management;CLCPFAC;
LCTPS;;x;;;Party_Management;CLCPFAC;
CFRSO;;x;;;Business_Lending_Engine;CLCPFAC;
ILDTL;;x;;;auxiliary;ILHISLD;
IPTIO;;x;;;Financial_Markets_Trade_engine;ILHISLD;
IPTIL;;x;;;auxiliary;ILHISLD;
ITLDO;;x;;;lending;ILHISLD;
IGLDO;;x;;;Financial_Markets_Trade_engine;ILHISLD;
LCBNS;;x;;;Party_Management;ILHISLD;
LCCYS;;x;;;Reference_Data_Manager;ILHISLD;
ILDCL;;x;;;Reconciliation_Engine;ILHISLD;
ILDCO;;x;;;Reconciliation_Engine;ILHISLD;
ILDPL;;x;;;auxiliary;ILHISLD;
ILDPO;;x;;;Financial_Markets_Trade_engine;ILHISLD;
LPHYS;;x;;;Party_Management;ILHISLD;
REFFL;;;x;;Reference_Data_Manager;DCPIC;
DCONO;;x;;;Payments_Execution_Engine;DCPIC;
DCNIO;x;x;x;;auxiliary;DCPIC;
DCNDO;;x;;;Payments_Execution_Engine;DCPIC;
LCCYS;;x;;;Reference_Data_Manager;DCPIC;
LPRDS;;x;;;Product_Management;DCPIC;
LCTPS;;x;;;Party_Management;DCPIC;
LCBNS;;x;;;Party_Management;DCPIC;
ADETS;;x;;;Current_Account_Engine;DCPIC;
LBRAS;;x;;;Reference_Data_Manager;DCPIC;
AASPS;;;x;;auxiliary;DCPIC;
BREDO;;x;;;Financial_Markets_Trade_engine;BUINTACC2;
BICTO;;x;;;Financial_Markets_Trade_engine;BUINTACC2;
PRSNL;;x;;;Core;BUINTACC2;
LPHYS;;x;;;Party_Management;BUINTACC2;
LRCES;;x;;;General_Ledger;BUINTACC2;
BDLGO;;x;;;Financial Markets;BUINTACC2;
BISSO;;x;;;Financial Markets;BUINTACC2;
LPRDS;;x;;;Product_Management;BUINTACC2;
LBRAS;;x;;;Reference_Data_Manager;BUINTACC2;
LCCYS;;x;;;Reference_Data_Manager;BUINTACC2;
BDLTO;;x;;;Financial_Markets_Trade_engine;BUINTACC2;
AEVTO;x;;;;Current_Account_Engine;PAEVTO102;
REFFL;;;x;;Reference_Data_Manager;CPIIC;
CMHIO;;x;;;auxiliary;CPIIC;
CCMHO;;x;;;Business_Lending_Engine;CPIIC;
LCCYS;;x;;;Reference_Data_Manager;CPIIC;
CMTIO;x;x;x;;auxiliary;CPIIC;
CMTLO;;x;;;Business_Lending_Engine;CPIIC;
LBRAS;;x;;;Reference_Data_Manager;CPIIC;
LRESS;;x;;;Reference_Data_Manager;CPIIC;
IIPIO;x;;;;Financial Markets;CPIIC;
CPTIO;;x;;;Business_Lending_Engine;CPIIC;
AEVTO;x;;;;Current_Account_Engine;PAEVTO101;
AMVTO;;x;;x;Current_Account_Engine;LOJDELMVT;
AADVO;;x;;x;Customer_Reporting;LOJDELMVT;
PRSNL;;x;;;Core;GLSECPAUT;
LPHYS;;x;;;Party_Management;GLSECPAUT;
LRCES;;x;;;General_Ledger;GLSECPAUT;
SECRL;;;;x;auxiliary;GLSECPAUT;
GPARL;;;;x;auxiliary;GLSECPAUT;
AASPS;;x;x;;auxiliary;GP-091BDL-ACCEVT2;
BDLGO;;x;;;Financial Markets;GP-091BDL-ACCEVT2;
BBOKS;;x;;;Financial_Markets_Trade_engine;GP-091BDL-ACCEVT2;
BISSO;;x;;;Financial Markets;GP-091BDL-ACCEVT2;
BICTO;;x;;;Financial_Markets_Trade_engine;GP-091BDL-ACCEVT2;
BDLAO;;x;x;;Financial_Markets_Trade_engine;GP-091BDL-ACCEVT2;
LCTSO;;x;;;Party_Management;CLCPFAM;
AASPS;;x;;;auxiliary;GP-109CRIIRSO;
IIRSO;x;;;;Financial Markets;GP-109CRIIRSO;
AASPS;;x;;;auxiliary;GP-100-SWIFTHEAD;
LELCS;;x;;;Party_Management;GP-100-SWIFTHEAD;
LPSNS;;x;;;Party_Management;GP-100-SWIFTHEAD;
REFFL;;;x;;Reference_Data_Manager;GP-100-SWIFTHEAD;
BREDO;;x;;;Financial_Markets_Trade_engine;BUINTACCR;
BICTO;;x;;;Financial_Markets_Trade_engine;BUINTACCR;
PRSNL;;x;;;Core;BUINTACCR;
LPHYS;;x;;;Party_Management;BUINTACCR;
LRCES;;x;;;General_Ledger;BUINTACCR;
BDLGO;;x;;;Financial Markets;BUINTACCR;
BISSO;;x;;;Financial Markets;BUINTACCR;
LPRDS;;x;;;Product_Management;BUINTACCR;
LBRAS;;x;;;Reference_Data_Manager;BUINTACCR;
LCCYS;;x;;;Reference_Data_Manager;BUINTACCR;
BDLTO;;x;;;Financial_Markets_Trade_engine;BUINTACCR;
REFFL;;;x;;Reference_Data_Manager;GP-163-CHKNAM;
AMDCO;;x;;x;General_Ledger;AUMDCFUP;
ATMPO;;x;;x;Customer_Reporting;AUMDCFUP;
AFOLO;;x;x;x;General_Ledger;AUMDCFUP;
LCCYS;;x;;;Reference_Data_Manager;AUMDCFUP;
ADETS;;x;x;;Current_Account_Engine;AUMDCFUP;
LPRDS;;x;;;Product_Management;AUMDCFUP;
IFXCO;;x;;;Financial_Markets_Trade_engine;AUMDCFUP;
ICNFS;;x;;;Reconciliation_Engine;AUMDCFUP;
ATRTS;;x;;;General_ledger;AUMDCFUP;
AJSTO;x;;;;General_Ledger;AUMDCFUP;
AMVTO;x;;;;Current_Account_Engine;AUMDCFUP;
INVMO;x;;;;Financial_Markets_Trade_engine;AUMDCFUP;
AADVO;x;;;;Customer_Reporting;AUMDCFUP;
LBRAS;;x;x;;Reference_Data_Manager;AUMDCFUP;
AASPS;;x;x;;auxiliary;AUMDCFUP;
RSTRT;;;x;;auxiliary;AUMDCFUP;
REFFL;;;x;;Reference_Data_Manager;AUMDCFUP;
AROTO;;x;;;General_Ledger;AUMDCFUP;
BDLTO;;x;x;;Financial_Markets_Trade_engine;BUUPDBDLTO;
BDLGO;;x;;;Financial Markets;BUUPDBDLTO;
AASPS;;;x;;auxiliary;BUUPDBDLTO;
INVMO;x;x;x;;Financial_Markets_Trade_engine;BUUPDBDLTO;
IPTIO;;x;;;Financial_Markets_Trade_engine;BUUPDBDLTO;
LPRDS;;x;;;Product_Management;BUUPDBDLTO;
LCCYS;;x;;;Reference_Data_Manager;BUUPDBDLTO;
BISSO;;x;;;Financial Markets;BUUPDBDLTO;
BREDO;;x;;;Financial_Markets_Trade_engine;BUUPDBDLTO;
BDLAO;;x;;;Financial_Markets_Trade_engine;BUUPDBDLTO;
RPSCH;;;x;;auxiliary;BUUPDBDLTO;
BICTO;;x;;;Financial_Markets_Trade_engine;BUUPDBDLTO;
CSHTO;x;x;x;x;financial markets;CUSHRPRCLD;
LCCYS;;x;;;Reference_Data_Manager;CUSHRPRCLD;
PRSNL;;x;;;Core;CUSHRPRCLD;
LPHYS;;x;;;Party_Management;CUSHRPRCLD;
LRCES;;x;;;General_Ledger;CUSHRPRCLD;
CSHAO;;x;;;financial markets;CUSHRPRCLD;
LPRDS;;x;;;Product_Management;CUSHRPRCLD;
CRTRO;;x;x;;Business_Lending_Engine;CUSHRPRCLD;
PRSNL;;x;;;Core;AUDELICIY;
LPHYS;;x;;;Party_Management;AUDELICIY;
LRCES;;x;;;General_Ledger;AUDELICIY;
LPSNS;;x;;;Party_Management;AUDELICIY;
LCIYS;x;x;;x;Reference_Data_Manager;AUDELICIY;
LCIYL;x;;;x;auxiliary;AUDELICIY;
AEVTO;x;x;;;Current_Account_Engine;MUPMNTSIN;
ATRDO;x;;;;Current_Account_Engine;MUPMNTSIN;
DPTRO;;x;x;x;Payments_Execution_Engine;MUPMNTSIN;
AASPS;;;x;;auxiliary;MUPMNTSIN;
LCBNS;;x;;;Party_Management;MUPMNTSIN;
LCCYS;;x;;;Reference_Data_Manager;MUPMNTSIN;
ATRTS;;x;;;General_ledger;MUPMNTSIN;
AIBRO;;x;;;auxiliary;MUPMNTSIN;
LBRAS;;x;;;Reference_Data_Manager;MUPMNTSIN;
ATMPO;x;;;;Customer_Reporting;MUPMNTSIN;
LCIYS;;x;;;Reference_Data_Manager;MUPMNTSIN;
LPHYS;;x;;;Party_Management;MUPMNTSIN;
LCORO;;x;;;Party_Management;MUPMNTSIN;
LELCS;;x;;;Party_Management;MUPMNTSIN;
ADETS;;x;;;Current_Account_Engine;MUPMNTSIN;
AEXRS;x;;;;Reference_Data_Manager;MUPMNTSIN;
ASTMS;;x;;;auxiliary;MUPMNTSIN;
DCONO;;x;;;Payments_Execution_Engine;MUPMNTSIN;
DCNDO;;x;;;Payments_Execution_Engine;MUPMNTSIN;
DCTRO;x;x;x;;Customer_Billing;MUPMNTSIN;
ABA1S;;x;;;General_Ledger;MUPMNTSIN;
INOSO;;x;;;Financial_Markets_Trade_engine;MUPMNTSIN;
LPRDS;;x;;;Product_Management;MUPMNTSIN;
DIPTO;x;x;;x;Payments_Execution_Engine;MUPMNTSIN;
REFFL;;;x;;Reference_Data_Manager;MUPMNTSIN;
IBATO;;x;x;;Current_Account_Engine;MUPMNTSIN;
RPDEF;;;x;;auxiliary;MUPMNTSIN;
LCTPS;;x;;;Party_Management;DLSMCTFFF;
LPSNS;;x;;;Party_Management;DLSMCTFFF;
LPHYS;;x;;;Party_Management;DLSMCTFFF;
LCRYS;;x;;;Reference_Data_Manager;DLSMCTFFF;
LGRDO;;x;;;Reference_Data_Manager;DLSMCTFFF;
DIPTO;;x;;;Payments_Execution_Engine;MII4I;
DPTRO;;x;;;Payments_Execution_Engine;MII4I;
DPTRL;;x;;;Payments_Execution_Engine;MII4I;
LCCYS;;x;;;Reference_Data_Manager;CLCPCURR;
LCBNS;;x;;;Party_Management;LLFULLNAME;
LPHYS;;x;;;Party_Management;LLFULLNAME;
LPRDL;;;x;x;auxiliary;LLPRDDIC02;
ICNFS;;x;;;Reconciliation_Engine;DULDEUROCH;
LCCYS;;x;;;Reference_Data_Manager;DULDEUROCH;
LBRAS;;x;;;Reference_Data_Manager;DULDEUROCH;
DCBMO;;x;;;Payments_Execution_Engine;DULDEUROCH;
REFFL;;;x;;Reference_Data_Manager;DULDEUROCH;
ADETS;;x;;;Current_Account_Engine;DULDEUROCH;
DMSTO;x;x;;x;Cash_Management_Engine;DULDEUROCH;
DSLVO;x;x;;x;Cash_Management_Engine;DULDEUROCH;
LPHYS;;x;;;Party_Management;DULDEUROCH;
LCBNS;;x;;;Party_Management;DULDEUROCH;
AASPS;;x;;;auxiliary;DULDEUROCH;
LPRDS;;x;;;Product_Management;LLPRDDIC01;
REFFL;;;x;;Reference_Data_Manager;GP-BONDINI;
LBRAS;;x;;;Reference_Data_Manager;GP-BONDINI;
LCCYS;;x;;;Reference_Data_Manager;XLSALRLIST;
XGDCS;;x;;;General_Ledger;XLSALRLIST;
XGMVO;;x;;;General_Ledger;XLSALRLIST;
CEXSO;;x;;x;Business_Lending_Engine;CUEXSDELH;
LCCYS;;x;;;Reference_Data_Manager;DLCLESTS;
DCTRO;;x;;;Customer_Billing;DLCLESTS;
GCNVO;;x;;;Core;DLCLESTS;
PRSNL;;x;;;Core;DLCLESTS;
LPHYS;;x;;;Party_Management;DLCLESTS;
LRCES;;x;;;General_Ledger;DLCLESTS;
LBRAS;;x;;;Reference_Data_Manager;DLCLESTS;
DIPTO;;x;;;Payments_Execution_Engine;DLCLESTS;
DPTRO;;x;;;Payments_Execution_Engine;DLCLESTS;
DPTRL;;x;;;Payments_Execution_Engine;DLCLESTS;
LCCYS;;x;;;Reference_Data_Manager;LLCURRENCY;
IFFCO;;x;;;Financial_Markets_Trade_engine;ILIRFDEATK;
REFFL;;;x;;Reference_Data_Manager;ILIRFDEATK;
IIFFO;;x;;;financial markets;ILIRFDEATK;
LCCYS;;x;;;Reference_Data_Manager;ILIRFDEATK;
IERMO;;x;;;auxiliary;ILIRFDEATK;
AASPS;;;x;;auxiliary;ILIRFDEATK;
RPDEF;;;x;;auxiliary;ILIRFDEATK;
CGURO;;x;;;Business_Lending_Engine;CLGUAREPRE;
CGUCO;;x;;;Business_Lending_Engine;CLGUAREPRE;
LCCYS;;x;;;Reference_Data_Manager;CLGUAREPRE;
LCBNS;;x;;;Party_Management;CLGUAREPRE;
LPHYS;;x;;;Party_Management;CLGUAREPRE;
LCTPS;;x;;;Party_Management;CLGUAREPRE;
CGUAS;;x;;;Business_Lending_Engine;CLGUAREPRE;
PRSNL;;x;;;Core;CLGUAREPRE;
LCCYS;;x;;;Reference_Data_Manager;ILIRSGFI;
IGIRO;;x;;;Financial_Markets_Trade_engine;ILIRSGFI;
ITIRO;;x;;;Financial_Markets_Trade_engine;ILIRSGFI;
LCBNS;;x;;;Party_Management;ILIRSGFI;
AAISO;;x;;;auxiliary;AUBKEAIS;
LCCYS;;x;;;Reference_Data_Manager;AUBKEAIS;
ICNFS;;x;;;Reconciliation_Engine;AUBKEAIS;
