Table;C;R;U;D;Owner;Program
IRSCO;;x;x;;Financial_Markets_Trade_engine;IUCRECNF;
IILDO;;x;;;auxiliary;IUCRECNF;
IICSO;x;;;;Financial Markets;IUCRECNF;
REFFL;;;x;;Reference_Data_Manager;IUCRECNF;
IBATO;;x;x;;Current_Account_Engine;IUCRECNF;
IPIBO;x;;;;Financial_Markets_Trade_engine;IUCRECNF;
RSTRT;;;x;;auxiliary;IUCRECNF;
IFRAL;;x;;x;auxiliary;IUREMMATFR;
IPTIO;;x;;x;Financial_Markets_Trade_engine;IUREMMATFR;
IPTIL;;x;;x;auxiliary;IUREMMATFR;
IFRCO;;x;;x;Financial_Markets_Trade_engine;IUREMMATFR;
IFRPO;;x;;x;Financial_Markets_Trade_engine;IUREMMATFR;
ICOPO;;x;;x;Reconciliation_Engine;IUREMMATFR;
IFASO;;x;;x;Financial_Markets_Trade_engine;IUREMMATFR;
IFRCL;;x;;x;Financial_Markets_Trade_engine;IUREMMATFR;
IFRPL;;x;;x;Financial_Markets_Trade_engine;IUREMMATFR;
LCCYS;;x;;;Reference_Data_Manager;IUREMMATFR;
LPHYS;;x;;;Party_Management;IUREMMATFR;
AJSTO;;x;;x;General_Ledger;IUREMMATFR;
RPSCH;;;x;;auxiliary;IUREMMATFR;
REFFL;;;x;;Reference_Data_Manager;IUREMMATFR;
IFRAO;;x;;x;Financial_Markets_Trade_engine;IUREMMATFR;
CRTRO;;x;;x;Business_Lending_Engine;IUREMMATFR;
LPHYS;;x;;;Party_Management;CLFACREPWA;
LCBNS;;x;;;Party_Management;CLFACREPWA;
CREPO;;x;;;Business_Lending_Engine;CLFACREPWA;
CDIAO;;x;;;auxiliary;CLFACREPWA;
CFACS;;x;x;;Business_Lending_Engine;CLFACREPWA;
PRSNL;;x;;;Core;CLFACREPWA;
LCCYS;;x;;;Reference_Data_Manager;CI-003-FILL-RCPV6;
LPRDS;;x;;;Product_Management;CI-003-FILL-RCPV6;
IGLDO;;x;;;Financial_Markets_Trade_engine;CI-003-FILL-RCPV6;
ITLDO;;x;;;lending;CI-003-FILL-RCPV6;
BDLGO;;x;;;Financial Markets;CI-003-FILL-RCPV6;
ARETL;;x;;x;auxiliary;ALARETAUT;
LCCYS;;x;;;Reference_Data_Manager;CLCOMMLIST;
CPTIO;;x;;;Business_Lending_Engine;CLCOMMLIST;
CCMHO;;x;;;Business_Lending_Engine;CLCOMMLIST;
CMTLO;;x;;;Business_Lending_Engine;CLCOMMLIST;
LBGRS;;x;;;Reference_Data_Manager;CLFACNHOAP;
CFACS;;x;;;Business_Lending_Engine;CLFACNHOAP;
LCBNS;;x;;;Party_Management;CLFACNHOAP;
LPHYS;;x;;;Party_Management;CLFACNHOAP;
PRSNL;;x;;;Core;CLFACNHOAP;
LCTPS;;x;;;Party_Management;CLFACNHOAP;
LCCYS;;x;;;Reference_Data_Manager;CLFACNHOAP;
BDLAO;x;x;;;Financial_Markets_Trade_engine;GI-091BDL-BDLAO;
LBRAS;;x;;;Reference_Data_Manager;DULDCLEAIT;
LELCS;;x;;;Party_Management;DULDCLEAIT;
LCRYS;;x;;;Reference_Data_Manager;DULDCLEAIT;
LCCYS;;x;;;Reference_Data_Manager;DULDCLEAIT;
GCNVO;;x;;;Core;DULDCLEAIT;
LPHYS;;x;;;Party_Management;DULDCLEAIT;
DDETO;x;;;;Payments_Execution_Engine;DULDCLEAIT;
DCTRO;x;x;;;Customer_Billing;DULDCLEAIT;
PRSNL;;x;;;Core;DULDCLEAIT;
LRCES;;x;;;General_Ledger;DULDCLEAIT;
REFFL;;;x;;Reference_Data_Manager;DULDCLEAIT;
LCIYS;;x;;;Reference_Data_Manager;DULDCLEAIT;
DIPTO;;x;;;Payments_Execution_Engine;DULDCLEAIT;
LBRAS;;x;;;Reference_Data_Manager;ALMARCOV;
AROTO;;x;;;General_Ledger;ALMARCOV;
LCCYS;;x;;;Reference_Data_Manager;ALMARCOV;
ADETS;;x;;;Current_Account_Engine;ALMARCOV;
LCBNL;;x;x;;auxiliary;IUFLSHN;
LCBNS;;x;x;;Party_Management;IUFLSHN;
ABA1L;;x;x;;auxiliary;IUFLSHN;
ABA1S;;x;x;;General_Ledger;IUFLSHN;
IGLDO;;x;x;;Financial_Markets_Trade_engine;IUFLSHN;
IFXCO;;x;x;;Financial_Markets_Trade_engine;IUFLSHN;
RPSCH;;;x;;auxiliary;IUFLSHN;
AASPS;;;x;;auxiliary;IUFLSHN;
RPDEF;;;x;;auxiliary;IUFLSHN;
LCBNS;;x;;;Party_Management;ILEXPCLI50;
LCTSO;;x;;;Party_Management;ILEXPCLI50;
LCTPS;;x;;;Party_Management;ILEXPCLI50;
LPHYS;;x;;;Party_Management;ILEXPCLI50;
IGLDO;;x;;;Financial_Markets_Trade_engine;ILEXPCLI50;
ITLDO;;x;;;lending;ILEXPCLI50;
BDLGO;;x;;;Financial Markets;ILEXPCLI50;
BDLTO;;x;;;Financial_Markets_Trade_engine;ILEXPCLI50;
BISSO;;x;;;Financial Markets;ILEXPCLI50;
BICTO;;x;;;Financial_Markets_Trade_engine;ILEXPCLI50;
LBRAS;;x;;;Reference_Data_Manager;ILEXPCLI50;
AEXRS;;x;;;Reference_Data_Manager;ILEXPCLI50;
LCCYS;;x;;;Reference_Data_Manager;ILEXPCLI50;
CFACS;;x;;;Business_Lending_Engine;ILEXPCLI50;
CRTRO;;x;;;Business_Lending_Engine;ILEXPCLI50;
LPRDS;;x;;;Product_Management;ILEXPCLI50;
CFACS;;x;;;Business_Lending_Engine;CLFACDOCIN;
LCBNS;;x;;;Party_Management;CLFACDOCIN;
LPHYS;;x;;;Party_Management;CLFACDOCIN;
PRSNL;;x;;;Core;CLFACDOCIN;
LCCYS;;x;;;Reference_Data_Manager;CLFACDOCIN;
LPHYS;;x;;;Party_Management;ILWARDTEDC;
IWARO;;x;;;Financial_Markets_Trade_engine;ILWARDTEDC;
PRSNL;;x;;;Core;ILWARDTEDC;
RSTRT;;x;;;auxiliary;ILWARDTEDC;
AASPS;;x;;;auxiliary;ILWARDTEDC;
LRCES;;x;;;General_Ledger;ILWARDTEDC;
LCIYS;;x;;;Reference_Data_Manager;ILWARDTEDC;
LCRYS;;x;;;Reference_Data_Manager;ILWARDTEDC;
CEXRO;;x;;;Financial_Markets_Trade_engine;GP-070-STRONG-CCY;
AAFRO;x;x;x;x;auxiliary;AAFRC;
AAFRL;x;;;;auxiliary;AAFRC;
LPRDS;;x;;;Product_Management;IMLD5;
LRCES;;x;;;General_Ledger;IMLD5;
LPSNS;;x;;;Party_Management;IMLD5;
ABA1S;;x;;;General_Ledger;IMLD5;
LCCYS;;x;;;Reference_Data_Manager;IMLD5;
LBRAS;;x;;;Reference_Data_Manager;IMLD5;
LBROS;;x;;;Party_Management;IMLD5;
IGLDO;;x;;;Financial_Markets_Trade_engine;IMLD5;
ISAVO;;x;;;auxiliary;IMLD5;
REFFL;;;x;;Reference_Data_Manager;IMLD5;
DIPTL;x;;;;auxiliary;GP-068AEPMTINTLOG;
DIPTO;x;x;;;Payments_Execution_Engine;GP-068AEPMTINTLOG;
RSTRT;;x;x;;auxiliary;GR-003REPERRORS;
RPSCH;x;;x;;auxiliary;GR-003REPERRORS;
LCCYS;;x;;;Reference_Data_Manager;ILOUTINVMA;
LPRDS;;x;;;Product_Management;ILOUTINVMA;
AEXRS;;x;;;Reference_Data_Manager;ILOUTINVMA;
ICNFS;;x;;;Reconciliation_Engine;ABA14;
ABA1S;;x;;;General_Ledger;ABA14;
ISIMO;;x;;;Business_Lending_Engine;ILDOCTMAT;
LPRDS;;x;x;;Product_Management;ILDOCTMAT;
LCBNS;;x;;;Party_Management;ILDOCTMAT;
LCCYS;;x;;;Reference_Data_Manager;ILDOCTMAT;
LBRAS;;x;;;Reference_Data_Manager;ILDOCTMAT;
LPSNS;;x;;;Party_Management;ILDOCTMAT;
ABA1S;;x;;;General_Ledger;ABA15;
ICNFS;;x;;;Reconciliation_Engine;ABA15;
LCCYS;;x;;;Reference_Data_Manager;DLBNKCHRG;
REFFL;;;x;;Reference_Data_Manager;DLBNKCHRG;
DCTRO;;x;;;Customer_Billing;DLBNKCHRG;
DCONO;;x;;;Payments_Execution_Engine;DLBNKCHRG;
DPTRL;;x;;;Payments_Execution_Engine;DLBNKCHRG;
DPTRO;;x;;;Payments_Execution_Engine;DLBNKCHRG;
AMVTO;;x;;;Current_Account_Engine;DLBNKCHRG;
AAFRO;;x;;;auxiliary;AAFR5;
IFRAO;;x;;;Financial_Markets_Trade_engine;ILFRAIN;
IPTIO;;x;;;Financial_Markets_Trade_engine;ILFRAIN;
LCCYS;;x;;;Reference_Data_Manager;ILFRAIN;
LPHYS;;x;;;Party_Management;DULDCLEAGE;
LCCYS;;x;;;Reference_Data_Manager;DULDCLEAGE;
DBATO;;x;;;Instruction_and_Order_Management;DULDCLEAGE;
REFFL;;;x;;Reference_Data_Manager;DULDCLEAGE;
DDDCO;;x;;;Instruction_and_Order_Management;DULDCLEAGE;
ICNFS;;x;;;Reconciliation_Engine;DULDCLEAGE;
GCNVO;;x;;;Core;DULDCLEAGE;
RCHQS;x;x;;;Payments_Execution_Engine;DULDCLEAGE;
DIPTO;x;x;x;;Payments_Execution_Engine;DULDCLEAGE;
ADETS;;x;;;Current_Account_Engine;DULDCLEAGE;
ASPAS;;x;;;Customer_Reporting;DULDCLEAGE;
DRDIO;;x;x;;Payments_Execution_Engine;DULDCLEAGE;
DRDIL;x;;;;auxiliary;DULDCLEAGE;
AASPS;;x;x;;auxiliary;DULDCLEAGE;
LBRAS;;x;;;Reference_Data_Manager;DULDCLEAGE;
RCHDS;x;x;x;;Payments_Execution_Engine;DULDCLEAGE;
AROTO;;x;;;General_Ledger;DULDCLEAGE;
LCBNS;;x;;;Party_Management;DULDCLEAGE;
ABA1S;;x;;;General_Ledger;DULDCLEAGE;
AEVTO;x;;;;Current_Account_Engine;DULDCLEAGE;
DPBDO;;x;x;;Payments_Execution_Engine;DULDCLEAGE;
PRSNL;;x;;;Core;DULDCLEAGE;
