Type;EntityName;Description;Owner                                                                                                                                                                                  ;;Letter;Length
R;AUCROSSEXR;Daily croos-rate calculation  ;                              ;                                                                                                                                ;A;10
R;AUCTPSHN;Correct Shn for LCTPS/LCBNS   ;                              ;                                                                                                                                ;A;8
R;AUCTPSHN2;Change shortname + City       ;                              ;                                                                                                                                ;A;9
R;AUDACBAL;Accounting Balance Update     ;                              ;                                                                                                                                ;A;8
R;AUDELGRID;del grid                      ;                              ;JT                                                                                                                              ;A;9
R;AUDELICIY;Delete Unused City code       ;                              ;                                                                                                                                ;A;9
R;AUDLLTAT;Create TAT-files and ST WFL   ;                              ;                                                                                                                                ;A;8
R;AUDRMACC;Flag Dormant Accounts         ;                              ;                                                                                                                                ;A;8
R;AUDTEASP;Maintain Acc.Sys.Parameters   ;                              ;                                                                                                                                ;A;8
R;AUEOYPOSE;Transfer Position E           ;                              ;                                                                                                                                ;A;9
R;AUEURACC;Open Accnt in EUR & trans EMU ;                              ;                                                                                                                                ;A;8
R;AUEURPOL0;                              ;                              ;                                                                                                                                ;A;9
R;AUEURPOL1;Open P&L in EUR               ;                              ;                                                                                                                                ;A;9
R;AUEURPOL2;Transfer Bal Of P&L into Euro ;                              ;                                                                                                                                ;A;9
R;AUEURPOL3;Tfr P&L EOM/SBD Bal Loc Ccy   ;                              ;                                                                                                                                ;A;9
R;AUEXRASP;Maintain Acc.Exchange Rates   ;                              ;                                                                                                                                ;A;8
R;AUEXRDEV;Dly Acc.Exch.Rate SAGE Msg Cre;                              ;                                                                                                                                ;A;8
R;AUFCMJAN;Pro-rata's Aut. Entries FCM=Y ;                              ;                                                                                                                                ;A;8
R;AUFOLSET0;Folder Create to set P/L to 0 ;                              ;                                                                                                                                ;A;9
R;AUGXACC;Accounting of Gen.Exp.Mvts.   ;                              ;                                                                                                                                ;A;7
R;AUGXACR;General Expenses - Accruals   ;                              ;                                                                                                                                ;A;7
R;AUGXBUD;Create Loc.Budg.Adjust.abstrac;                              ;                                                                                                                                ;A;7
R;AUGXPRE;Acc. of Invoices with Prepaymt;                              ;                                                                                                                                ;A;7
R;AUHKGINBRA;Interbr.Acc.events HKG ==> SIN;                              ;                                                                                                                                ;A;10
R;AUHOLUPD;Unload / Load Holidays File   ;                              ;                                                                                                                                ;A;8
R;AUINTCAL;Interest Calculations         ;                              ;                                                                                                                                ;A;8
R;AUINTCFD;Interest Calculation (1st day);                              ;                                                                                                                                ;A;8
R;AULDACGTAB;LOAD ACCOUNTING TABLE         ;                              ;                                                                                                                                ;A;10
R;AULDBIL;Load ALGRS-ARBRO-ABASS frm Bil;                              ;                                                                                                                                ;A;7
R;AULDGMEXR;Upload Interest rate GMDB     ;                              ;WP                                                                                                                              ;A;9
R;AULDGMINT;Base Rate Upload from GMDB    ;                              ;WP                                                                                                                              ;A;9
R;AULDNCPINT;Load Notional Cash Pooling Int;                              ;                                                                                                                                ;A;10
R;AULOADEXR;Daily upload exch.rates BTS   ;                              ;                                                                                                                                ;A;9
R;AULOADFOL;load folders                  ;                              ;WP                                                                                                                              ;A;9
R;AULOADMDC;Load MDC-batch from PC        ;                              ;                                                                                                                                ;A;9
