Type;EntityName;Description;Owner                                                                                                                                                                                  ;;Letter;Length
I;IAFRC;Authorise FRA's trs           ;                              ;                                                                                                                                ;I;5
I;IAFXC;Authorise foreign exchange    ;                              ;                                                                                                                                ;I;5
I;IAIRC;Authorise IRS transactions    ;                              ;                                                                                                                                ;I;5
I;IALDC;Authorise Loans/deposits      ;                              ;                                                                                                                                ;I;5
I;IAMTC;Authorise Margin Trading deals;                              ;                                                                                                                                ;I;5
I;IAOPC;Authorise FX options          ;                              ;                                                                                                                                ;I;5
I;IAUTL;Logging IAUTO                 ;                              ;                                                                                                                                ;I;5
I;IAUTM;Mtn authorisation decision tab;                              ;                                                                                                                                ;I;5
I;IAUTO;Autorisation decision table   ;                              ;                                                                                                                                ;I;5
I;IBAT1;Batch directory single inquiry;                              ;                                                                                                                                ;I;5
I;IBATA;ACCOUNTING BATCH MAINTENANCE  ;                              ;                                                                                                                                ;I;5
I;IBATC;Single Statement resend       ;                              ;JT                                                                                                                              ;I;5
I;IBATF;Single Statement resend Auth  ;                              ;JT                                                                                                                              ;I;5
I;IBATO;Batch directory PMT/CNF/ACC   ;                              ;                                                                                                                                ;I;5
I;IBBD4;BTS Batch Directory Inquiry   ;                              ;                                                                                                                                ;I;5
I;IBBDO;BTS BATCH DIRECTORY FILE      ;                              ;                                                                                                                                ;I;5
I;IBDDO;Brokerage Volume Discount -det;                              ;                                                                                                                                ;I;5
I;IBDHO;Brokerage Volume Discount-Head;                              ;                                                                                                                                ;I;5
I;IBITO;Batch directory Interim       ;                              ;JT                                                                                                                              ;I;5
I;IBSPC;Back office system parameters ;                              ;                                                                                                                                ;I;5
I;IBTF1;Inq. Foreign exch. Boston trs ;                              ;                                                                                                                                ;I;5
I;IBTF2;Inq. BTS trs. Foreign exch.   ;                              ;                                                                                                                                ;I;5
I;IBTF5;Mult.inq. Foreign exch. trans.;                              ;                                                                                                                                ;I;5
I;IBTI1;Inquiry single l/d bts trans. ;                              ;                                                                                                                                ;I;5
I;IBTI5;Interim file Loans/Dep multinq;                              ;                                                                                                                                ;I;5
I;IBVD1;Brokerage Volume Discount     ;                              ;                                                                                                                                ;I;5
I;IBVD5;Brokerage Volume Discount     ;                              ;                                                                                                                                ;I;5
I;ICBRM;Conv. BrokerID on cnf / IFS Br;                              ;                                                                                                                                ;I;5
I;ICBRO;Conv. Broker id-IFS broker id ;                              ;                                                                                                                                ;I;5
I;ICCFB;Close fit cnfs (Our-broker)   ;                              ;                                                                                                                                ;I;5
I;ICCFC;Match close fits cnf's        ;                              ;                                                                                                                                ;I;5
I;ICDCI;Conf or Del Close Fit Proposal;                              ;                                                                                                                                ;I;5
I;ICDPI;CONFIRM OR DELETE PROPOSAL    ;                              ;                                                                                                                                ;I;5
I;ICLF4;Inquiry on Close Fit Proposals;                              ;                                                                                                                                ;I;5
I;ICNDL;Logging ICNDO                 ;                              ;                                                                                                                                ;I;5
I;ICNDM;Mtn confirmation decision tab.;                              ;                                                                                                                                ;I;5
I;ICNDO;Confirmation decision table   ;                              ;                                                                                                                                ;I;5
I;ICNF5;Inquiry fixed text ICNFS      ;                              ;                                                                                                                                ;I;5
I;ICNFL;Logging ICNFS                 ;                              ;                                                                                                                                ;I;5
I;ICNFO;Our and their confirmation    ;                              ;                                                                                                                                ;I;5
I;ICNFS;Mtn confirmation texts        ;                              ;                                                                                                                                ;I;5
I;ICNLD;Cnf to load,scan,... deals    ;                              ;                                                                                                                                ;I;5
I;ICNPC;Change confirmation parameters;                              ;                                                                                                                                ;I;5
I;ICNRL;Cnf scanning/realease payments;                              ;                                                                                                                                ;I;5
I;ICNSC;Change confirmation status    ;                              ;                                                                                                                                ;I;5
I;ICOE5;EVENTS FOR A COMP             ;                              ;                                                                                                                                ;I;5
I;ICOF5;Inq. on incoming conf. files  ;                              ;                                                                                                                                ;I;5
I;ICOLB;Match OL cnf's Our-Broker NYC ;                              ;                                                                                                                                ;I;5
I;ICOLC;Match proposal cnf - NYC      ;                              ;                                                                                                                                ;I;5
I;ICON5;Contract inquiry              ;                              ;                                                                                                                                ;I;5
I;ICOPC;Change status open confirmat. ;                              ;                                                                                                                                ;I;5
I;ICOPL;COMP payment status log file  ;                              ;                                                                                                                                ;I;5
I;ICOPO;COMP payment status file      ;                              ;                                                                                                                                ;I;5
I;ICOSP;Split COMP payments           ;                              ;                                                                                                                                ;I;5
I;ICPDC;Complete payment instr.details;                              ;                                                                                                                                ;I;5
I;ICPIC;Complete payment instructions ;                              ;                                                                                                                                ;I;5
I;ICPRB;Match cnfs OUR-BROKER PROPOSAL;                              ;                                                                                                                                ;I;5
I;ICPRC;Match confirm. in proposal    ;                              ;                                                                                                                                ;I;5
I;ICPRP;Principal and Interm.banks pay;                              ;                                                                                                                                ;I;5
I;ICVB5;M.I.conv.broker ctp/IFS ctp   ;                              ;                                                                                                                                ;I;5
I;ICVBS;Maint.conv.broker ctp-IFS ctp ;                              ;                                                                                                                                ;I;5
I;IDPLO;DAILY  P / L                  ;                              ;                                                                                                                                ;I;5
I;IEBAM;Maintain EBA clearing members ;                              ;                                                                                                                                ;I;5
I;IERB5;Exchange Rate Brokerage Comm. ;                              ;                                                                                                                                ;I;5
I;IERBS;Exch Rates Brokerage Commiss. ;                              ;                                                                                                                                ;I;5
I;IERMO;Error message file load Boston;                              ;                                                                                                                                ;I;5
I;IEXC5;Monitoring screen             ;                              ;                                                                                                                                ;I;5
I;IFASO;FRA Acctg Status file         ;                              ;                                                                                                                                ;I;5
I;IFCP1;INQUIRY IRF CLOSING PRICES    ;                              ;                                                                                                                                ;I;5
I;IFCPO;Fin. Futures Closing Prices   ;                              ;                                                                                                                                ;I;5
I;IFCSL;FX LOGGING FILE               ;                              ;                                                                                                                                ;I;5
I;IFCSO;FX CONF. STATUS FILE          ;                              ;                                                                                                                                ;I;5
I;IFCTC;Maintain IRF contract tariffs ;                              ;                                                                                                                                ;I;5
I;IFERS;Input of special exchange rate;                              ;                                                                                                                                ;I;5
I;IFFAO;Fin. Futures Accounting status;                              ;                                                                                                                                ;I;5
I;IFFC1;Maintain IRF contracts        ;                              ;                                                                                                                                ;I;5
I;IFFCL;Log IRF Contract              ;                              ;                                                                                                                                ;I;5
I;IFFCO;Financial Futures Contracts   ;                              ;                                                                                                                                ;I;5
I;IFFDL;Financial Futures Deals Log   ;                              ;                                                                                                                                ;I;5
I;IFFDO;Financial Futures Deals       ;                              ;                                                                                                                                ;I;5
I;IFFE5;IRF's Deal Events Inquiry     ;                              ;                                                                                                                                ;I;5
I;IFFOO;Financial Futures Offset contr;                              ;                                                                                                                                ;I;5
I;IFFPO;Fin. Futures Payment status   ;                              ;                                                                                                                                ;I;5
I;IFFT1;Future Contract Tenor Dates   ;                              ;                                                                                                                                ;I;5
I;IFFTO;Financial Futures Tenor Dates ;                              ;                                                                                                                                ;I;5
I;IFFVO;Fin. Futures Variation Margin ;                              ;                                                                                                                                ;I;5
I;IFFVS;Correction amount to balance  ;                              ;                                                                                                                                ;I;5
I;IFIRC;CHG FIXING OVERNIGHT INDX SWAP;                              ;                                                                                                                                ;I;5
I;IFPIC;New payment instruct confirm  ;                              ;                                                                                                                                ;I;5
I;IFPSO;IRF Purchase and sale         ;                              ;                                                                                                                                ;I;5
I;IFRAL;Log File FRA'S                ;                              ;                                                                                                                                ;I;5
I;IFRAO;FRA'S INVENTORY               ;                              ;                                                                                                                                ;I;5
I;IFRCL;FRA Confirm status log file   ;                              ;                                                                                                                                ;I;5
I;IFRCO;FRA Confirmations Status File ;                              ;                                                                                                                                ;I;5
I;IFRE5;Fra Contr Events Mult Inq     ;                              ;                                                                                                                                ;I;5
I;IFRPL;FRA Payment status log file   ;                              ;                                                                                                                                ;I;5
I;IFRPO;FRA payment status file       ;                              ;                                                                                                                                ;I;5
I;IFS800;IFS800                        ;                              ;WP                                                                                                                              ;I;6
I;IFSINP;IFSINP                        ;                              ;WP                                                                                                                              ;I;6
I;IFSINS;incoming files signed         ;                              ;LOJ                                                                                                                             ;I;6
I;IFSISS;incoming swift signed         ;                              ;LOJ                                                                                                                             ;I;6
I;IFSISW;IFSISW                        ;                              ;WP                                                                                                                              ;I;6
I;IFSOSS;outgoing swift signed         ;                              ;LOJ                                                                                                                             ;I;6
I;IFSOSW;IFSOSW                        ;                              ;WP                                                                                                                              ;I;6
I;IFSTDS;incoming files signed         ;                              ;LOJ                                                                                                                             ;I;6
I;IFTCO;IRF contract tarrifs          ;                              ;                                                                                                                                ;I;5
I;IFTSO;IRF con. tarifs - Tenor spread;                              ;                                                                                                                                ;I;5
I;IFUPS;Follow-up parameters statement;                              ;                                                                                                                                ;I;5
I;IFXAO;FX Accounting Status File     ;                              ;                                                                                                                                ;I;5
I;IFXCL;FX CONTRACT LOG FILE          ;                              ;                                                                                                                                ;I;5
I;IFXCO;Foreign exchange contracts    ;                              ;                                                                                                                                ;I;5
I;IFXE5;Contract events F/X mult.inq. ;                              ;                                                                                                                                ;I;5
I;IFXPL;forex payment status log file ;                              ;                                                                                                                                ;I;5
I;IFXPO;FX payment status file        ;                              ;                                                                                                                                ;I;5
I;IGFFC;Amend general Financial Future;                              ;                                                                                                                                ;I;5
I;IGFRC;Amend Gen Info Fra's Contracts;                              ;                                                                                                                                ;I;5
I;IGFXC;Amend general info FX contract;                              ;                                                                                                                                ;I;5
I;IGIRC;Amend gen. info Int. Rate Swap;                              ;                                                                                                                                ;I;5
I;IGIRO;General IRS contracts         ;                              ;                                                                                                                                ;I;5
I;IGLDC;AMEND GEN INFO LOAN DEPOSIT   ;                              ;                                                                                                                                ;I;5
I;IGLDO;General loan/deposit contracts;                              ;                                                                                                                                ;I;5
I;IGMI5;GMDB Base Rate Inquiry        ;                              ;WP                                                                                                                              ;I;5
I;IGNOR;IGNORE THIS SCREEN            ;                              ;                                                                                                                                ;I;5
I;IGOPC;AMEND GEN INFO CCY OPT CTRCT  ;                              ;                                                                                                                                ;I;5
I;IGTEC;TECTEL INFO Inventory level   ;                              ;                                                                                                                                ;I;5
I;IHMC5;Multiple inquiry header mail  ;                              ;                                                                                                                                ;I;5
I;IHMCL;Logging IHMCS                 ;                              ;                                                                                                                                ;I;5
I;IHMCS;Maintain header mail confirm. ;                              ;                                                                                                                                ;I;5
I;IICFM;Maintain indication close fits;                              ;                                                                                                                                ;I;5
I;IICSO;interim conf. status file     ;                              ;                                                                                                                                ;I;5
I;IIFF1;Inq. on single IRF transaction;                              ;                                                                                                                                ;I;5
I;IIFF5;Multiple inq. on IRF transact.;                              ;                                                                                                                                ;I;5
I;IIFFO;Interim file Financial Futures;                              ;                                                                                                                                ;I;5
I;IIFFS;Future Deal Input             ;                              ;                                                                                                                                ;I;5
I;IIFR1;Inq. FRA'S Boston trs.        ;                              ;                                                                                                                                ;I;5
I;IIFR5;Multi inq. FRA's trans.       ;                              ;                                                                                                                                ;I;5
I;IIFRA;FRA CONTRACT INPUT            ;                              ;                                                                                                                                ;I;5
I;IIFRO;Intermi file FRA              ;                              ;                                                                                                                                ;I;5
I;IIFXO;Interim file Foreign exchange ;                              ;                                                                                                                                ;I;5
I;IIFXS;Adding a single FX transaction;                              ;                                                                                                                                ;I;5
I;IIFXT;Add FX trans - Treasury       ;                              ;                                                                                                                                ;I;5
I;IIIR1;Inq. on single IRS transaction;                              ;                                                                                                                                ;I;5
I;IIIR5;Multiple inq. on IRS transact.;                              ;                                                                                                                                ;I;5
I;IILDA;LOAN/DEPOSIT CONTRACT INPUT   ;                              ;                                                                                                                                ;I;5
I;IILDD;DELETION OF LOAN/DEPOSIT SEGS ;                              ;                                                                                                                                ;I;5
I;IILDM;Loan/Dep Interim Segment Mnt. ;                              ;                                                                                                                                ;I;5
I;IILDO;Interim file loan/deposits    ;                              ;                                                                                                                                ;I;5
I;IINI5;4 eyes                        ;                              ;WP                                                                                                                              ;I;5
I;IINIF;4 eyes                        ;                              ;WP                                                                                                                              ;I;5
I;IINIM;4 eyes                        ;                              ;WP                                                                                                                              ;I;5
I;IINIO;4 eyes                        ;                              ;WP                                                                                                                              ;I;5
I;IINT5;Interest base rates inquiry   ;                              ;                                                                                                                                ;I;5
I;IINTL;Logging IINTO                 ;                              ;                                                                                                                                ;I;5
I;IINTM;Mtn interest base rates       ;                              ;                                                                                                                                ;I;5
I;IINTO;Interest base rates           ;                              ;                                                                                                                                ;I;5
I;IIOP1;Inquiry FX options trans.     ;                              ;                                                                                                                                ;I;5
I;IIOP5;Multi-inquiry on FX options   ;                              ;                                                                                                                                ;I;5
I;IIOPO;Interim file for Options      ;                              ;                                                                                                                                ;I;5
I;IIPH5;Phone confirmations           ;                              ;                                                                                                                                ;I;5
I;IIPI1;Inq. on trs payment instr.    ;                              ;                                                                                                                                ;I;5
I;IIPI2;Detail inq on paymt instr. trs;                              ;                                                                                                                                ;I;5
I;IIPIO;Interim file payment instr.   ;                              ;                                                                                                                                ;I;5
I;IIRE5;Inq. on events IRS contracts  ;                              ;                                                                                                                                ;I;5
I;IIRGM;Interest Rate Formula Maint   ;                              ;WP                                                                                                                              ;I;5
I;IIRSO;Interim file IRS contracts    ;                              ;                                                                                                                                ;I;5
I;IITEC;TECTEL info screen            ;                              ;                                                                                                                                ;I;5
I;ILDAO;LOANS/DEPOSIT ACC. STAT. FILE ;                              ;                                                                                                                                ;I;5
I;ILDCL;L/D CONF STATUS LOG FILE      ;                              ;                                                                                                                                ;I;5
I;ILDCO;LD confirmation status file   ;                              ;                                                                                                                                ;I;5
I;ILDE5;Contract events L/D mult.inq. ;                              ;                                                                                                                                ;I;5
I;ILDPL;l/d Payment status log file   ;                              ;                                                                                                                                ;I;5
I;ILDPO;LD payment status file        ;                              ;                                                                                                                                ;I;5
I;ILDTL;Loan/deposits transactions Log;                              ;                                                                                                                                ;I;5
I;ILNG5;Multiple inquiry longtext     ;                              ;                                                                                                                                ;I;5
I;ILNGL;Logging ILNGS                 ;                              ;                                                                                                                                ;I;5
I;ILNGS;Maintain longtext             ;                              ;                                                                                                                                ;I;5
I;ILPAL;Liquidation parameter log file;                              ;                                                                                                                                ;I;5
I;ILPAM;Maintain liqudation parameter ;                              ;                                                                                                                                ;I;5
I;ILPAO;Liquidation parameter         ;                              ;                                                                                                                                ;I;5
I;IMAGC;Maintain Master Agreement     ;                              ;                                                                                                                                ;I;5
I;IMAGO;Master Agreement per customer ;                              ;                                                                                                                                ;I;5
I;IMBI5;Batch directory inq interim   ;                              ;JT                                                                                                                              ;I;5
I;IMBT5;Batch directory inquiry       ;                              ;                                                                                                                                ;I;5
I;IMCO5;Mult.Inq. NETTING contracts   ;                              ;                                                                                                                                ;I;5
I;IMFC5;Multiple INQ on IRF Contracts ;                              ;                                                                                                                                ;I;5
I;IMFR5;Multiple Inquiry Fra's Ctracts;                              ;                                                                                                                                ;I;5
I;IMFT5;MULTIPLE INQUIRY IRF TARIFFS  ;                              ;                                                                                                                                ;I;5
I;IMFX5;Mult.inq. Foreign Exch. contr.;                              ;                                                                                                                                ;I;5
I;IMIF5;Mult. inq. Interest Rate Futur;                              ;                                                                                                                                ;I;5
I;IMIR5;Mult. inq. Imterest Rate Swaps;                              ;                                                                                                                                ;I;5
I;IMLD5;Multiple inquiry Loan deposits;                              ;                                                                                                                                ;I;5
I;IMLN1;Input confirm. arrived by mail;                              ;                                                                                                                                ;I;5
I;IMMLC;Match confirm. arrived by mail;                              ;                                                                                                                                ;I;5
I;IMOP5;Mult. Inqu. Curr. Opt. Ctrcts ;                              ;                                                                                                                                ;I;5
I;IMSP5;Mult. Inq. Standard Instr.    ;                              ;                                                                                                                                ;I;5
I;IMSPD;MNTN std instr. DETAILS       ;                              ;                                                                                                                                ;I;5
I;IMSPM;Maintain standard paym. instr.;                              ;                                                                                                                                ;I;5
I;INETL;Payment netting               ;                              ;                                                                                                                                ;I;5
I;INETM;Payment netting decision table;                              ;                                                                                                                                ;I;5
I;INETO;Payment netting               ;                              ;                                                                                                                                ;I;5
I;INOSL;Nostro log file               ;                              ;                                                                                                                                ;I;5
I;INOSM;Mtn Nostro file               ;                              ;                                                                                                                                ;I;5
I;INOSO;Nostro file                   ;                              ;                                                                                                                                ;I;5
I;INQUS;INQUIRY DIALOGUE ON USERCODES ;                              ;                                                                                                                                ;I;5
I;INVMO;Nostro Value Movements        ;                              ;                                                                                                                                ;I;5
I;IOASO;Ccy Opt Acctg Status file     ;                              ;                                                                                                                                ;I;5
I;IODU5;Mult. inq. overdue settings   ;                              ;                                                                                                                                ;I;5
I;IODUL;LOGGING IODUS                 ;                              ;                                                                                                                                ;I;5
I;IODUS;Maintain overdue date         ;                              ;                                                                                                                                ;I;5
I;IOFF5;Mult. inq. IRF Matching       ;                              ;                                                                                                                                ;I;5
I;IOFFC;Manual offset of IRF contracts;                              ;                                                                                                                                ;I;5
I;IOPCL;Ccy Opt Confirmation log file ;                              ;                                                                                                                                ;I;5
I;IOPCO;Ccy Opt Conf Status file      ;                              ;                                                                                                                                ;I;5
I;IOPE5;Ccy Opt Ctr Events Mult Inq   ;                              ;                                                                                                                                ;I;5
I;IOPEC;Exercise Ccy Option           ;                              ;                                                                                                                                ;I;5
I;IOPPL;Ccy Opt Payment Status log fil;                              ;                                                                                                                                ;I;5
I;IOPPO;Ccy Opt Payment Status file   ;                              ;                                                                                                                                ;I;5
I;IOPT1;Inquiry Ccy Opt Ctrcts        ;                              ;                                                                                                                                ;I;5
I;IOPTC;Trigger screen FX options     ;                              ;                                                                                                                                ;I;5
I;IOPTL;Curr. Option Ctrcts Log file  ;                              ;                                                                                                                                ;I;5
I;IOPTS;Currency Options Contracts    ;                              ;                                                                                                                                ;I;5
