Usable;Table;Short description as found in DB;Owner;Extra explanation as given by expert;Shared;Status;Comments
y;DSTIO;Standinf Orders - Interim File ;Payment Execution Engine;;;;
y;DSTOO;STANDING ORDERS FILE ;Payment Execution Engine;inventory file;;;
y;DSTSO;Payment - Statistical Data ;Payment Execution Engine;;;;
y;IAUTO;Autorisation decision table ;Payment Execution Engine;decisionrules for STP traffic, mostly used for payments but also for MM, Lending,?;y;;
y;LTARO;Target 2 Directory Table ;Payment Execution Engine;;;;
y;RCHDS;Clear. Chq. Batch Dir. Maint. ;Payment Execution Engine;;;;
y;RCHQS;Cleared Cheque Maintenance ;Payment Execution Engine;;;;
y;RCHRO;CHEQUE REQUESTS ;Payment Execution Engine;order cheques;;;
y;APPNO;Product per Nature Code ;Product Management;;;;
y;LPRDS;Oper.Product Codes Dictionary ;Product Management;;;;
y;GSBSO;Special Batch Scheduling ;Reconciliation Engine;list of scheduled batches;;;
y;IACCO;Account identification stmt ;Reconciliation Engine;nostrorec;;;
y;ICNDO;Confirmation decision table ;Reconciliation Engine;decision table for determining  which transaction confirmations are to be generated;;;
y;ICNFO;Our and their confirmation ;Reconciliation Engine;code to text;;;
y;ICNFS;Mtn confirmation texts ;Reconciliation Engine;list of codes & labels + meaning, used by different modules;y;;
y;ICOPO;COMP payment status file ;Reconciliation Engine;manually adjust confirmation status between ING and other party;;;
y;IFCSO;FX CONF. STATUS FILE ;Reconciliation Engine;;;;
y;IFUPS;Follow-up parameters statement ;Reconciliation Engine;parameters for matching decisions between account holder and nostro statements;;;
y;ILDCL;L/D CONF STATUS LOG FILE ;Reconciliation Engine;;;;
y;ILDCO;LD confirmation status file ;Reconciliation Engine;;;;
y;ISTLO;Statement line ;Reconciliation Engine;;;;
y;ISTMO;Statement ;Reconciliation Engine;statements that did not come from SWIFT (IRM);;;
y;ITCFO;INDICATION TABLE CLOSE FIT ;Reconciliation Engine;recon. When trx can not be matched automatically and need to be reviewed by user;;;
y;ITOLO;TOLERANCES OUTPUT ;Reconciliation Engine;digit tolerance per currency and Ctp for matching purpose;;;
y;AEXRS;Acc. Exch. Rates - Occas.Input ;Reference data;;y;;
y;ASTMO;Statement History ;Reference Data;;;;
y;ATDCS;Bkg.Entries Free Text Maint. ;Reference Data;;;;
y;ISWCO;Swift conversion output ;Reference Data;Match swift addr from IFS with swift addr from counterparties;;;
y;LBGRS;Branch Group Description ;Reference Data;;;;
y;LBRAS;Branch master file ;Reference Data;defines the branch  per site;;;
y;LCCCS;Currency / Country LCCCS ;Reference data;;;;
y;LCCYS;Currency File Maintenance ;Reference data;map ccy to codes;;;
y;LCGRS;Country Group Maintenance ;Reference data;groups eg. EEC;;;
y;LCIYS;City File ;Reference data;links to customer;y;;
y;LCLIS;Country Limit Maintenance ;Reference Data;;;;
y;LCRYS;Country File Maintenance ;Reference Data;;;;
y;LCSTS;Country / Country Group LCSTS ;Reference Data;;;;
y;LGRDO;GRID table ;Reference Data;GRID=risk info data - Risk Referencial;;;
y;LGXFO;Grid Xreference ;Reference Data;subtable LGRDO;;;
y;LHOLO;Holiday File ;Reference Data;bank,target,..;;;
y;LRESS;Oper. Result Codes Dictionary ;Reference Data;;;;
y;REFFL;REFERENCE FILE STRUCTURE ;Reference Data;old GPARO;;;
y;GSADO;SAGE msg detail records ;Reference data;swift msgs details from GSAMO - SWIFT msg engine support;y;;
y;GSAMO;SAGE msg header records ;Reference data;swift msgs containing ACK/NACK msgs - incoming,outcoming - SWIFT msg engine support;y;;
y;GSWMO;Swift Message Status ;Reference data;used by all - SWIFT msg engine support;y;;
y;IBATO;Batch directory PMT/CNF/ACC ;;list of executed payment/confirmation batches;y;;
n;ADEIO;Indiv.Cust. Account Maint. Int ;Account Management;;;;
n;BDLGO;Bond Deals Inventory ;Financial Markets;;;;
n;BISSO;Bond Issuances Inventory ;Financial Markets;;;;
n;BRPIO;Interim REPO collateral file ;Financial Markets;;;;
n;BSPIO;STANDARD PAYMENT INSTR. BONDS ;Financial Markets;;;;
n;CC3PL;Commission 3rd Party ;Financial Markets;commissions and payment account;;;
n;CCRXO;RXM CUSTOMER LINK ;Financial Markets;risk mgmt for customers dealing with more than one dealing room;;;
n;CCUSO;Share Trading : Custodian Def. ;Financial Markets;custodians and their safekeeping&transaction fee;;;
n;CMTCO;Margin Trading deals ;Financial Markets;;;;
n;CMTCS;MARGIN TRADING CUSTOMER ;Financial Markets;;;;
n;CPBCO;Private Banking Customer Def. ;Financial Markets;;;;
n;CPBPO;Private Banking Portfolio ;Financial Markets;;;;
n;CRXMO;RXM CONTRACTS ;Financial Markets;;;;
n;CSHAO;Customer Share Inventory ;Financial Markets;;;;
n;CSHCO;Share Charges Definition ;Financial Markets;;;;
n;CSHDS;Share Dealtype Definition ;Financial Markets;;;;
n;CSHOO;SHARE TRADIN OPTIONS STRUCTURE ;Financial Markets;;;;
n;CSHRO;Replace Share deals ;Financial Markets;;;;
n;CSHTO;Share Type Inventory ;Financial Markets;;;;
n;CSHVO;SHARE TRADING DIVIDENDS ;Financial Markets;;;;
n;CSSHO;Security Share Portfolio ;Financial Markets;;;;
n;IFXCL;FX CONTRACT LOG FILE ;Financial markets;;;;
n;IICSO;interim conf. status file ;Financial Markets;;;;
n;IIFFO;Interim file Financial Futures ;Financial Markets;interest rate futures;;;
n;IIFRO;Intermi file FRA ;Financial Markets;FRA contract details;;;
n;IIFXO;Interim file Foreign exchange ;Financial Markets;;;;
n;IIOPO;Interim file for Options ;Financial Markets;;;;
